,N Control(raw),Mean Control(raw),N Case(raw),Mean Case(raw),cohen's d(raw),Fold change(raw),p-value(raw),fdr(raw),N Control(PSM),Mean Control(PSM),N Case(PSM),Mean Case(PSM),cohen's d(PSM),Fold change(PSM),p-value(PSM),fdr(PSM)
PWY-5857: ubiquinol-10 biosynthesis (prokaryotic),16,1.972540575e-05,16,5.264243125e-07,0.8999686006867313,0.02668762909984754,0.0002646056672282238,0.00860660439724264,21,1.2712343333333334e-06,21,8.664809523809523e-08,0.9472275459239344,0.06816060026548623,2.8305056271028538e-05,0.00201180894756644
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,16,4.841368750000001e-07,16,1.985914375e-07,0.5476909518532986,0.41019688388743364,0.03583745897210527,0.14339768536116262,21,6.302501904761906e-07,21,1.388941904761905e-07,1.0007839743243099,0.22037945021682243,3.009115947214761e-05,0.00201180894756644
PWY-5856: ubiquinol-9 biosynthesis (prokaryotic),16,1.972540575e-05,16,5.264243125e-07,0.8999686006867313,0.02668762909984754,0.0002646056672282238,0.00860660439724264,21,1.2712343333333334e-06,21,8.664809523809523e-08,0.9472275459239344,0.06816060026548623,2.8305056271028538e-05,0.00201180894756644
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic),16,1.972540575e-05,16,5.264243125e-07,0.8999686006867313,0.02668762909984754,0.0002646056672282238,0.00860660439724264,21,1.2712343333333334e-06,21,8.664809523809523e-08,0.9472275459239344,0.06816060026548623,2.8305056271028538e-05,0.00201180894756644
PWY66-389: phytol degradation,16,3.730144312499999e-05,16,2.3250959375e-06,0.8931587702982046,0.06233260010097801,1.5932777797286954e-05,0.007456540009130294,21,5.210121904761904e-06,21,1.9215229047619042e-06,1.9181380995593447,0.36880574771305963,5.397291747428337e-06,0.00201180894756644
PWY-6629: superpathway of L-tryptophan biosynthesis,16,1.18203875e-06,16,9.951610625000001e-06,0.690852809135678,8.419022324775733,0.005921930111453336,0.06396192598250765,21,5.889619047619047e-07,21,9.026128571428574e-06,0.8550323910526801,15.325487944890934,1.4559388065837234e-05,0.00201180894756644
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic),16,1.972540575e-05,16,5.264243125e-07,0.8999686006867313,0.02668762909984754,0.0002646056672282238,0.00860660439724264,21,1.2712343333333334e-06,21,8.664809523809523e-08,0.9472275459239344,0.06816060026548623,2.8305056271028538e-05,0.00201180894756644
KETOGLUCONMET-PWY: ketogluconate metabolism,16,2.631209375e-07,16,3.27607375e-07,0.0651641933538186,1.2450828813271464,0.6983436473455027,0.751321441282058,21,6.101276190476189e-07,21,0.0,0.8461320638614083,0.0,6.794885423861459e-05,0.003975007972958953
P221-PWY: octane oxidation,16,3.23623125e-08,16,2.774513125e-07,0.7199195831028468,8.573284511111497,0.005150814219532189,0.0634363435458175,21,2.4656999999999997e-08,21,3.4411442857142854e-07,0.9099958985210725,13.956054206571302,0.0002242074441368355,0.011658787095115445
"PWY-6992: 1,5-anhydrofructose degradation",16,2.401768125e-06,16,2.5540784374999996e-06,0.056504031926258705,1.0634159105180063,0.3927699262437191,0.4850034973141439,21,7.1449e-07,21,2.6876452380952373e-06,1.1672813265283428,3.7616275078660824,0.0002740957667717119,0.012827681884916117
"PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)",16,2.7740875e-09,16,0.0,0.35355339059327384,0.0,0.34850142376108484,0.4408072062707776,21,1.6908723809523808e-08,21,0.0,1.0826639239215334,0.0,0.002018589417457954,0.020993329941562718
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation,16,2.28559375e-08,16,0.0,0.35355339059327395,0.0,0.34850142376108484,0.4408072062707776,21,1.3931238095238095e-07,21,0.0,1.0826639239215339,0.0,0.002018589417457954,0.020993329941562718
PWY-6519: 8-amino-7-oxononanoate biosynthesis I,16,3.4205482062499993e-05,16,2.4108275e-06,1.2710135623754528,0.07048073450901685,0.0002731271496355571,0.00860660439724264,21,1.068633542857143e-05,21,1.7459638095238092e-06,1.054265822013723,0.16338283794234346,0.0016089328786343343,0.020993329941562718
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase),16,4.0119143750000003e-07,16,9.24715e-08,0.39019462667629595,0.23049220735175832,0.5711015388004694,0.645220625894132,21,4.488182857142857e-07,21,3.0088e-08,1.1327171468635042,0.06703826683914074,0.0011996804695549464,0.020993329941562718
PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate,16,8.9314375e-09,16,1.40176875e-08,0.10819043838265986,1.5694771978195,1.0,1.0,21,5.4439238095238093e-08,21,0.0,1.0826639239215334,0.0,0.002018589417457954,0.020993329941562718
AST-PWY: L-arginine degradation II (AST pathway),16,8.7065625e-09,16,0.0,0.35355339059327373,0.0,0.34850142376108484,0.4408072062707776,21,5.306857142857142e-08,21,0.0,1.0826639239215334,0.0,0.002018589417457954,0.020993329941562718
PWY-6371: superpathway of inositol phosphate compounds,16,1.16161875e-08,16,2.69773125e-08,0.24660726166186683,2.322389553371104,0.5762867983413401,0.645220625894132,21,7.080342857142856e-08,21,0.0,1.0826639239215337,0.0,0.002018589417457954,0.020993329941562718
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",16,2.28559375e-08,16,0.0,0.35355339059327395,0.0,0.34850142376108484,0.4408072062707776,21,1.3931238095238095e-07,21,0.0,1.0826639239215339,0.0,0.002018589417457954,0.020993329941562718
PWY66-4: cholesterol biosynthesis III (via desmosterol),16,2.7432625e-08,16,0.0,0.5134250406599391,0.0,0.16394023748002984,0.32269346828802775,21,8.536404761904763e-08,21,0.0,1.1882119300115488,0.0,0.0009109658929875258,0.020993329941562718
PWY-6433: hydroxylated fatty acid biosynthesis (plants),16,1.21849375e-08,16,1.73819375e-08,0.08655855218866991,1.4265101893218577,1.0,1.0,21,7.427009523809523e-08,21,0.0,1.0826639239215332,0.0,0.002018589417457954,0.020993329941562718
PWY-6981: chitin biosynthesis,16,1.9362875e-08,16,2.53764375e-08,0.06660768749901186,1.310571777176685,1.0,1.0,21,1.1802133333333332e-07,21,0.0,1.0826639239215337,0.0,0.002018589417457954,0.020993329941562718
SPHINGOLIPID-SYN-PWY: sphingolipid biosynthesis (yeast),16,7.9229375e-09,16,0.0,0.3535533905932736,0.0,0.34850142376108484,0.4408072062707776,21,4.829219047619048e-08,21,0.0,1.0826639239215334,0.0,0.002018589417457954,0.020993329941562718
