,Group,W1X0,W1X1,W1X2,W1X3,W1X4,W1X5,W1X6,W1X7,W1X8,W1X9,W2X0,W2X1,W2X2,W2X3,W2X4,W2X5,W2X6,W2X7,W2X8,W2X9,W3X0,W3X1,W3X2,W3X3,W3X4,W3X5,W3X6,W3X7,W3X8,W3X9,W4X0,W4X1,W4X2,W4X3,W4X4,W4X5,W4X6,W4X7,W4X8,W4X9,W5X0,W5X1,W5X2,W5X3,W5X4,W5X5,W5X6,W5X7,W5X8,W5X9
s0,0,0.7311040634569201,1.4165317432522897,1.3302438313820122,0.9052039048577804,1.2513337033622167,1.5456540881699046,1.6009142608888027,0.7952511099640317,1.458656678721311,1.0783954473665693,0.9042062006105372,1.6270324340302709,1.467359881628264,1.3789291078161967,1.5483178104764157,1.3779324925759293,1.1324237662249574,1.5094445513723076,1.473883813750322,1.34407935019044,1.2137764912254778,0.7355681822456279,1.2118554109717667,1.2721202895527752,1.619698669985842,0.9954907458308501,1.4738042396155624,1.2854306732932321,1.2475896362161514,1.5986171597517433,1.1760099615730115,1.611771792967689,0.9394006193788705,1.4453788125286418,1.5136879117604343,1.222383140544228,0.9597070250416269,1.4537726171927325,1.022754562199964,1.121403895694597,1.5883824778539473,1.3667607987189112,1.40525557861729,0.8240350551197528,1.3926298309681457,1.3232262449215966,0.8962533033213242,0.7958946484966766,1.6033748869061455,0.9275670426815602
s1,0,0.5939640634569201,1.2901917432522896,1.2154438313820122,0.7199239048577804,1.105553703362217,1.4382540881699049,1.4600742608888027,0.6881911099640318,1.300396678721311,0.9615754473665693,0.7299662006105373,1.534472434030271,1.343599881628264,1.2367891078161968,1.4306178104764156,1.2561924925759294,0.9890037662249576,1.3552045513723074,1.362443813750322,1.2024993501904397,1.0854364912254777,0.5974681822456279,1.0794754109717668,1.0888602895527755,1.480538669985842,0.85543074583085,1.3090842396155624,1.1192506732932321,1.1364896362161514,1.4788971597517433,1.0209299615730116,1.443691792967689,0.7805206193788705,1.3149788125286417,1.3714679117604343,1.127203140544228,0.7920470250416268,1.3121926171927325,0.890914562199964,0.947043895694597,1.435142477853947,1.2092007987189113,1.2981755786172902,0.7090150551197529,1.2225498309681457,1.1829262449215965,0.7542133033213243,0.6552946484966766,1.4428148869061457,0.7769070426815601
s2,0,0.6683040634569202,1.4058517432522897,1.3454038313820122,0.8612439048577804,1.2135737033622167,1.5232140881699046,1.5569142608888027,0.7813711099640317,1.382456678721311,1.0986754473665692,0.8472462006105372,1.646472434030271,1.446999881628264,1.3657691078161966,1.5125978104764157,1.3524524925759294,1.0981037662249575,1.4750045513723076,1.4616838137503219,1.3263593501904398,1.1562164912254778,0.7121681822456278,1.1645354109717667,1.2230402895527752,1.562018669985842,0.93381074583085,1.4478042396155621,1.259990673293232,1.2439496362161515,1.5680171597517432,1.1351299615730115,1.545611792967689,0.8436406193788705,1.3803188125286416,1.4383479117604343,1.1753831405442279,0.8702070250416268,1.4094926171927327,0.969754562199964,1.057163895694597,1.5109824778539471,1.3151607987189113,1.36369557861729,0.795175055119753,1.3165298309681457,1.2735462449215964,0.8361333033213242,0.7872146484966766,1.5582348869061455,0.8404870426815602
s3,0,0.7917440634569202,1.5032917432522896,1.4326038313820122,1.0121239048577804,1.3284537033622168,1.6054540881699046,1.6828342608888027,0.8712111099640317,1.5283766787213109,1.1833154473665692,0.9901262006105372,1.7078324340302709,1.545319881628264,1.4776091078161966,1.6185978104764156,1.4533324925759294,1.2231437662249576,1.5987645513723074,1.538803813750322,1.4365193501904399,1.2783764912254778,0.8291281822456278,1.281575410971767,1.3764802895527755,1.6828986699858421,1.0487707458308502,1.5778842396155621,1.3858306732932322,1.3286696362161514,1.6714571597517434,1.2683299615730115,1.684811792967689,0.9897206193788705,1.4993588125286417,1.5615479117604343,1.261623140544228,1.0185270250416267,1.5334926171927326,1.085514562199964,1.211803895694597,1.656982477853947,1.4499607987189114,1.4677755786172901,0.8920550551197529,1.4679698309681457,1.3981862449215965,0.9642933033213242,0.8923346484966765,1.6968748869061456,0.9873670426815602
s4,0,0.7789040634569202,1.5102517432522897,1.4378038313820123,0.9944439048577803,1.332773703362217,1.6238540881699048,1.6633942608888028,0.8724511099640317,1.501016678721311,1.1937954473665693,0.9794862006105373,1.735472434030271,1.550959881628264,1.4757691078161965,1.6083978104764156,1.4536924925759296,1.2050237662249574,1.5947245513723076,1.567763813750322,1.43863935019044,1.2567364912254777,0.8167281822456279,1.2704954109717668,1.3535202895527754,1.6753386699858421,1.05441074583085,1.5707642396155623,1.387950673293232,1.3404696362161515,1.6665371597517433,1.2478899615730117,1.675371792967689,0.9670806193788705,1.4833588125286417,1.5557879117604343,1.2653831405442277,0.9963670250416269,1.5146926171927326,1.070434562199964,1.176163895694597,1.6149424778539472,1.4269607987189112,1.4401355786172902,0.8812950551197529,1.4345698309681456,1.3747462449215966,0.9376533033213242,0.8903346484966767,1.6669948869061457,0.9440070426815602
s5,0,0.42828406345692016,1.1525517432522896,1.0847638313820123,0.5376439048577804,0.9546737033622168,1.3138140881699047,1.2912742608888028,0.5519911099640318,1.114036678721311,0.8352154473665693,0.5546062006105372,1.4294324340302709,1.204119881628264,1.0865891078161967,1.2781778104764157,1.1123924925759294,0.8220437662249576,1.1955645513723077,1.246643813750322,1.05477935019044,0.9167564912254778,0.4386281822456279,0.9194354109717668,0.9022602895527754,1.319178669985842,0.7033507458308501,1.1450042396155622,0.961970673293232,1.0089296362161515,1.3307771597517433,0.8510899615730116,1.273691792967689,0.5982006193788705,1.1585988125286417,1.2133679117604343,0.9951631405442279,0.6141870250416268,1.1515126171927326,0.7427945621999641,0.7628038956945971,1.258622477853947,1.0465607987189114,1.15845557861729,0.5839550551197529,1.0453698309681458,1.0260462449215966,0.5964133033213243,0.5260546484966766,1.2769148869061455,0.5985470426815602
s6,0,0.6034040634569201,1.3056517432522896,1.2330038313820122,0.7816439048577803,1.126973703362217,1.4274940881699045,1.4836742608888027,0.6876311099640318,1.327976678721311,0.9811154473665693,0.7735262006105372,1.5257724340302707,1.353019881628264,1.2683691078161967,1.4340978104764157,1.2636324925759292,1.0186437662249577,1.3887445513723076,1.355643813750322,1.23001935019044,1.0929564912254777,0.6250881822456279,1.090955410971767,1.1486002895527754,1.4919586699858423,0.86071074583085,1.3567242396155623,1.164810673293232,1.1398896362161515,1.4843571597517433,1.0622299615730117,1.480811792967689,0.8016006193788705,1.3274988125286415,1.3822479117604343,1.1040631405442278,0.8286270250416269,1.3430526171927326,0.914934562199964,1.007703895694597,1.4810024778539472,1.2593807987189112,1.3175555786172901,0.7361350551197529,1.2785698309681457,1.2190662449215965,0.7919733033213242,0.7050546484966767,1.5029148869061455,0.8167270426815602
s7,0,0.49526406345692014,1.2333517432522896,1.1939238313820122,0.6660439048577804,1.0197737033622167,1.3444940881699048,1.3974942608888026,0.6300711099640317,1.208636678721311,0.9402954473665692,0.6455462006105372,1.482092434030271,1.274559881628264,1.1927091078161967,1.3608578104764155,1.1869124925759293,0.9386237662249575,1.2877645513723075,1.2691638137503218,1.1464593501904399,1.0040364912254778,0.5529081822456279,0.9985554109717669,1.0347402895527753,1.382078669985842,0.73329074583085,1.2602242396155623,1.058670673293232,1.0788496362161513,1.4093771597517433,0.9701699615730116,1.3458917929676888,0.6578406193788705,1.2222588125286418,1.2506679117604342,1.019343140544228,0.6833870250416268,1.2536326171927326,0.817794562199964,0.895043895694597,1.3736824778539471,1.1554607987189114,1.2572955786172901,0.6654750551197529,1.1537898309681456,1.1281462449215967,0.6924333033213242,0.6300346484966766,1.4096148869061456,0.7032470426815602
s8,0,0.5028040634569202,1.2165517432522897,1.1850038313820122,0.6466439048577803,0.9959737033622168,1.3256140881699046,1.4100142608888029,0.6341711099640318,1.223156678721311,0.9223754473665693,0.6249462006105373,1.456872434030271,1.262099881628264,1.1776691078161967,1.3753978104764157,1.1834524925759293,0.9468037662249575,1.2695045513723076,1.232283813750322,1.12675935019044,1.029016491225478,0.5558681822456278,1.005535410971767,1.0243402895527753,1.380618669985842,0.7135107458308501,1.2385042396155623,1.023290673293232,1.0649496362161515,1.4149171597517434,0.9713099615730116,1.3254917929676888,0.6641206193788705,1.2312188125286418,1.2416679117604343,1.0276631405442278,0.6781070250416268,1.2587526171927326,0.818974562199964,0.900103895694597,1.396582477853947,1.1502807987189114,1.28507557861729,0.6622950551197528,1.1550898309681457,1.1348662449215965,0.7002333033213242,0.6007146484966766,1.4097948869061456,0.7304870426815602
s9,0,0.6094840634569202,1.3128917432522895,1.2442838313820122,0.7379239048577804,1.1223537033622168,1.4572140881699047,1.4805342608888026,0.7122911099640318,1.315056678721311,0.9903154473665693,0.7444662006105373,1.560812434030271,1.364719881628264,1.2599691078161968,1.4520378104764156,1.2774124925759294,1.0110437662249576,1.3739245513723075,1.381203813750322,1.2239993501904398,1.104176491225478,0.6208481822456279,1.0980154109717668,1.1069602895527755,1.4959586699858423,0.8673907458308501,1.3296242396155624,1.1380106732932322,1.1603896362161512,1.5002171597517433,1.0402499615730116,1.4550917929676888,0.7889606193788705,1.3277588125286417,1.3808679117604343,1.1433631405442277,0.7993070250416269,1.3298526171927325,0.9039545621999641,0.961123895694597,1.446242477853947,1.2228607987189113,1.3146155786172902,0.7236750551197528,1.2320498309681458,1.1978862449215966,0.7663133033213243,0.6730346484966765,1.4583548869061456,0.7864270426815602
