,Environment,Age,Sex,Noise,1,Group
s0,0.454,0.665,0.305,0.853,1.0,0
s1,0.548,0.787,0.298,0.58,1.0,0
s2,0.587,0.57,0.694,0.696,1.0,0
s3,0.563,0.462,0.542,0.948,1.0,0
s4,0.511,0.608,0.754,0.874,1.0,0
s5,0.463,0.826,0.429,0.305,1.0,0
s6,0.458,0.494,0.307,0.69,1.0,0
s7,0.717,0.358,0.479,0.47,1.0,0
s8,0.915,0.323,0.227,0.479,1.0,0
s9,0.622,0.777,0.367,0.582,1.0,0
s10,0.424,0.224,0.095,0.529,1.0,0
s11,0.68,0.406,0.161,0.791,1.0,0
s12,0.41,0.225,0.783,0.652,1.0,0
s13,0.528,0.705,0.753,0.524,1.0,0
s14,0.232,0.544,0.279,0.589,1.0,0
s15,0.505,0.269,0.557,0.567,1.0,0
s16,0.237,0.813,0.508,0.799,1.0,0
s17,0.544,0.326,0.206,0.459,1.0,0
s18,0.354,0.46,0.222,0.563,1.0,0
s19,0.406,0.195,0.634,0.329,1.0,0
s20,0.702,0.688,1.0,0.0,1.0,0
s21,0.51,0.443,0.643,0.631,1.0,0
s22,0.595,0.479,0.266,0.673,1.0,0
s23,0.701,0.634,0.327,0.352,1.0,0
s24,0.592,0.311,0.565,0.954,1.0,0
s25,0.528,0.519,0.67,0.209,1.0,0
s26,0.426,0.374,0.159,0.509,1.0,0
s27,0.47,0.567,0.355,0.463,1.0,0
s28,0.541,0.623,0.788,0.807,1.0,0
s29,0.39,0.733,0.285,0.794,1.0,0
s30,0.15,0.152,0.737,0.531,1.0,0
s31,0.257,0.477,0.413,0.576,1.0,0
s32,0.483,0.269,0.748,0.322,1.0,0
s33,0.737,0.15,0.53,0.104,1.0,0
s34,0.466,0.438,0.457,0.43,1.0,0
s35,0.451,0.488,0.436,0.531,1.0,0
s36,0.335,0.508,0.564,0.746,1.0,0
s37,0.502,0.738,0.704,0.74,1.0,0
s38,0.594,0.318,0.342,0.423,1.0,0
s39,0.576,0.486,0.525,0.44,1.0,0
s40,0.424,0.582,0.429,0.29,1.0,0
s41,0.498,0.803,0.618,0.216,1.0,0
s42,0.677,0.419,0.002,0.159,1.0,0
s43,0.568,0.601,0.457,0.89,1.0,0
s44,0.158,0.396,0.703,0.398,1.0,0
s45,0.842,0.474,0.164,0.412,1.0,0
s46,0.714,0.351,0.583,0.249,1.0,0
s47,0.602,0.476,0.522,0.655,1.0,0
s48,0.926,0.513,0.786,0.177,1.0,0
s49,0.891,0.214,0.344,0.457,1.0,0
s50,0.777,0.502,0.613,0.321,1.0,0
s51,0.423,0.865,0.405,0.577,1.0,0
s52,0.673,0.273,0.767,0.398,1.0,0
s53,0.229,0.667,0.494,0.264,1.0,0
s54,0.324,0.335,0.658,0.494,1.0,0
s55,0.273,0.474,0.535,0.586,1.0,0
s56,0.38,0.537,0.557,0.513,1.0,0
s57,0.317,0.48,0.646,0.56,1.0,0
s58,0.548,0.442,0.403,0.373,1.0,0
s59,0.778,0.467,0.678,0.427,1.0,0
s60,0.447,0.807,0.262,0.366,1.0,0
s61,0.513,0.353,0.536,0.428,1.0,0
s62,0.183,0.157,0.784,0.337,1.0,0
s63,0.077,0.418,0.574,0.155,1.0,0
s64,0.392,0.618,0.716,0.535,1.0,0
s65,0.586,0.409,0.552,0.42,1.0,0
s66,0.555,0.329,0.443,0.174,1.0,0
s67,0.532,0.556,0.398,0.593,1.0,0
s68,0.585,0.27,0.702,0.319,1.0,0
s69,0.821,0.458,0.666,0.51,1.0,0
s70,0.478,0.429,0.377,0.646,1.0,0
s71,0.151,0.559,0.623,0.526,1.0,0
s72,0.684,0.157,0.599,0.728,1.0,0
s73,0.657,0.604,0.72,0.253,1.0,0
s74,0.55,0.262,0.603,0.58,1.0,0
s75,0.4,0.273,0.787,0.363,1.0,0
s76,0.661,0.55,0.542,0.326,1.0,0
s77,0.273,0.635,0.128,0.384,1.0,0
s78,0.348,0.308,0.725,0.438,1.0,0
s79,0.379,0.532,0.468,0.511,1.0,0
s80,0.189,0.241,0.6,0.267,1.0,0
s81,0.503,0.343,0.0,0.68,1.0,0
s82,0.471,0.234,0.704,0.593,1.0,0
s83,0.0,0.564,0.356,0.193,1.0,0
s84,0.834,0.37,0.106,0.798,1.0,0
s85,0.34,0.582,0.35,0.879,1.0,0
s86,0.478,0.736,0.695,0.736,1.0,0
s87,0.64,0.757,0.361,0.464,1.0,0
s88,0.564,0.389,0.788,0.286,1.0,0
s89,0.477,0.655,0.849,0.711,1.0,0
s90,0.403,0.428,0.488,0.419,1.0,0
s91,0.576,0.535,0.424,0.744,1.0,0
s92,0.04,0.444,0.543,0.542,1.0,0
