	V1
s100	s67
s101	s31
s102	s85
s103	s44
s104	s66
s105	s19
s106	s35
s107	s71
s108	s5
s109	s50
s110	s14
s111	s95
s112	s62
s113	s3
s114	s19
s115	NA_character_
s116	NA_character_
s117	s67
s118	s68
s119	s28
s120	s28
s121	s65
s122	s79
s123	s42
s124	s29
s125	s14
s126	s26
s127	s56
s128	s41
s129	s39
s130	NA_character_
s131	s44
s132	s33
s133	s44
s134	s31
s135	s0
s136	s41
s137	s1
s138	NA_character_
s139	s17
s140	s24
s141	s50
s142	NA_character_
s143	s55
s144	s19
s145	NA_character_
s146	s1
s147	s81
s148	s69
s149	s38
s150	s13
s151	s54
s152	s85
s153	NA_character_
s154	s62
s155	NA_character_
s156	s9
s157	s30
s158	s85
s159	NA_character_
s160	s19
s161	s34
s162	s76
s163	s85
s164	s52
s165	s31
s166	s49
s167	s9
s168	s28
s169	s9
s170	s6
s171	s88
s172	s34
s173	s19
s174	s71
s175	s1
s176	s75
s177	s44
s178	s90
s179	s85
s180	s89
s181	NA_character_
s182	s65
s183	s34
s184	NA_character_
s185	s29
s186	NA_character_
s187	s88
s188	s33
s189	s66
s190	s86
s191	s87
s192	s2
s193	s9
s194	s93
s195	NA_character_
s196	s24
s197	s19
s198	NA_character_
s199	s21
