	Environment	Age	Sex	Noise	1	Group	distance	weights
s0	0.309	0.287	0.869	0.853	1.0	0	0.4611674685033931	0.5930232558139535
s1	0.886	0.677	0.506	0.58	1.0	0	0.4175909962589585	1.7790697674418605
s2	0.262	0.551	0.667	0.696	1.0	0	0.4977359687626795	0.5930232558139535
s3	0.405	0.572	0.288	0.948	1.0	0	0.5720877922476391	0.5930232558139535
s4	0.373	0.298	0.768	0.874	1.0	0	0.475873767005858	0.0
s5	0.508	0.314	0.804	0.305	1.0	0	0.4405879991230678	0.5930232558139535
s6	0.657	0.602	0.21	0.69	1.0	0	0.5454027729491631	0.5930232558139535
s7	0.479	0.545	0.656	0.47	1.0	0	0.4624863649135563	0.0
s8	0.741	0.402	0.967	0.479	1.0	0	0.3503217714858945	0.0
s9	0.633	0.778	0.616	0.582	1.0	0	0.4229044077085638	2.372093023255814
s10	0.609	0.562	0.847	0.529	1.0	0	0.3876538404906831	0.0
s11	0.784	0.597	0.55	0.791	1.0	0	0.4316547190802631	0.0
s12	0.466	0.521	0.356	0.652	1.0	0	0.5482123537094405	0.0
s13	0.738	0.518	0.58	0.524	1.0	0	0.43956407490673716	0.5930232558139535
s14	0.164	0.033	0.796	0.589	1.0	0	0.532256373378447	1.186046511627907
s15	0.458	0.404	0.815	0.567	1.0	0	0.43759768886238815	0.0
s16	0.476	0.749	0.442	0.799	1.0	0	0.5004373370599254	0.0
s17	0.445	0.68	0.252	0.459	1.0	0	0.5639909665128305	0.5930232558139535
s18	0.574	0.643	0.354	0.563	1.0	0	0.5173091406445304	0.0
s19	0.355	0.458	0.49	0.329	1.0	0	0.5382258604073854	3.558139534883721
s20	1.0	0.524	0.611	0.0	1.0	0	0.38538146088111624	0.0
s21	0.515	0.626	0.565	0.631	1.0	0	0.47250561911593114	0.5930232558139535
s22	0.59	0.51	0.495	0.673	1.0	0	0.4896106738771745	0.0
s23	0.363	0.455	0.513	0.352	1.0	0	0.5309015958077974	0.0
s24	0.152	0.596	0.691	0.954	1.0	0	0.5064469668574199	1.186046511627907
s25	0.309	0.328	0.483	0.209	1.0	0	0.5611633720946786	0.0
s26	0.524	0.414	0.722	0.509	1.0	0	0.44978250249946666	0.5930232558139535
s27	0.381	0.851	0.789	0.463	1.0	0	0.41416792468670294	0.0
s28	0.589	0.535	0.288	0.807	1.0	0	0.5432102547556884	1.7790697674418605
s29	0.482	0.586	0.654	0.794	1.0	0	0.45840632450666335	1.186046511627907
s30	0.761	0.588	0.152	0.531	1.0	0	0.5438760456537038	0.5930232558139535
s31	0.439	0.52	0.206	0.576	1.0	0	0.5928195081923396	1.7790697674418605
s32	0.206	0.529	0.8	0.322	1.0	0	0.47399945216037837	0.0
s33	0.343	0.345	0.812	0.104	1.0	0	0.46467007194097565	1.186046511627907
s34	0.535	0.317	0.586	0.43	1.0	0	0.49417889194405074	1.7790697674418605
s35	0.385	0.322	0.714	0.531	1.0	0	0.48592011274081776	0.5930232558139535
s36	0.48	0.558	0.334	0.746	1.0	0	0.5479521526210767	0.0
s37	0.22	0.351	0.647	0.74	1.0	0	0.5306860911781409	0.0
s38	0.644	0.89	0.328	0.423	1.0	0	0.4870525311049771	0.5930232558139535
s39	0.415	0.493	0.544	0.44	1.0	0	0.5094179157813828	0.5930232558139535
s40	0.502	0.124	0.627	0.29	1.0	0	0.5083387639735689	0.0
s41	0.331	0.395	0.613	0.216	1.0	0	0.5156156550557405	1.186046511627907
s42	0.406	0.567	0.641	0.159	1.0	0	0.47737266581082427	0.5930232558139535
s43	0.512	0.317	0.579	0.89	1.0	0	0.5001965225815819	0.0
s44	0.255	0.411	0.64	0.398	1.0	0	0.5203206100601102	2.372093023255814
s45	0.533	0.722	0.638	0.412	1.0	0	0.44015610246842246	0.0
s46	0.515	0.551	0.428	0.249	1.0	0	0.517074743890804	0.0
s47	0.592	0.145	0.385	0.655	1.0	0	0.5553833957785855	0.0
s48	0.594	0.735	0.507	0.177	1.0	0	0.4631590819448984	0.0
s49	0.306	0.456	0.657	0.457	1.0	0	0.5020773007068815	0.5930232558139535
s50	0.65	0.57	0.435	0.321	1.0	0	0.48908380597461015	1.186046511627907
s51	0.755	0.71	0.412	0.577	1.0	0	0.46252435864603164	0.0
s52	0.608	0.363	0.834	0.398	1.0	0	0.4103281146852759	0.5930232558139535
s53	0.694	0.522	0.387	0.264	1.0	0	0.49899940065037984	0.0
s54	0.522	0.462	0.65	0.494	1.0	0	0.4647095728942203	0.5930232558139535
s55	0.751	0.465	0.159	0.586	1.0	0	0.555979348208779	0.5930232558139535
s56	0.734	0.63	0.127	0.513	1.0	0	0.5512070028651876	0.5930232558139535
s57	0.802	0.555	1.0	0.56	1.0	0	0.31898561911054846	0.0
s58	0.682	0.627	0.626	0.373	1.0	0	0.42646552829411527	0.0
s59	0.753	0.674	0.601	0.427	1.0	0	0.41605996026359343	0.0
s60	0.304	0.564	0.665	0.366	1.0	0	0.4894470495649297	0.0
s61	0.686	0.919	0.314	0.428	1.0	0	0.4804139697714161	0.0
s62	0.841	0.962	0.618	0.337	1.0	0	0.3691325863843697	1.186046511627907
s63	0.565	0.525	0.665	0.155	1.0	0	0.44677013722567127	0.0
s64	0.58	0.453	0.677	0.535	1.0	0	0.4480351294300818	0.0
s65	0.526	0.077	0.29	0.42	1.0	0	0.5986637300897094	1.186046511627907
s66	0.595	0.744	0.538	0.174	1.0	0	0.4537516459073352	1.186046511627907
s67	0.794	0.51	0.565	0.593	1.0	0	0.43447010044617906	1.186046511627907
s68	0.312	0.632	0.2	0.319	1.0	0	0.6054656481925581	0.5930232558139535
s69	0.806	0.549	0.043	0.51	1.0	0	0.5688970142919183	0.5930232558139535
s70	0.498	0.838	0.403	0.646	1.0	0	0.4981306931871238	0.0
s71	0.174	0.524	0.673	0.526	1.0	0	0.514588614051032	1.186046511627907
s72	0.446	0.489	0.494	0.728	1.0	0	0.5177905535742359	0.0
s73	0.489	0.515	0.315	0.253	1.0	0	0.5557076175492348	0.0
s74	0.373	0.698	0.467	0.58	1.0	0	0.5172383285072861	0.0
s75	0.566	0.392	0.232	0.363	1.0	0	0.5763319669036666	0.5930232558139535
s76	0.364	0.016	0.526	0.326	1.0	0	0.5707648701340629	0.5930232558139535
s77	0.505	0.691	0.599	0.384	1.0	0	0.45864634062591547	0.0
s78	0.367	0.505	0.222	0.438	1.0	0	0.602513452429183	0.0
s79	0.633	0.235	0.303	0.511	1.0	0	0.5611316474910791	0.5930232558139535
s80	0.592	0.561	0.86	0.267	1.0	0	0.38730115320706787	0.0
s81	0.223	0.453	0.473	0.68	1.0	0	0.566666633365556	0.5930232558139535
s82	0.715	0.359	1.0	0.593	1.0	0	0.35035580348226164	0.0
s83	0.77	0.567	0.417	0.193	1.0	0	0.4727712346526515	0.0
s84	0.352	0.839	0.632	0.798	1.0	0	0.4622830675297695	0.0
s85	0.219	0.978	0.642	0.879	1.0	0	0.46945204688520387	2.9651162790697674
s86	0.903	0.575	0.276	0.736	1.0	0	0.4862735400018244	0.5930232558139535
s87	0.513	0.357	0.777	0.464	1.0	0	0.442662182683703	0.5930232558139535
s88	0.425	0.295	0.302	0.286	1.0	0	0.5919247430204302	1.186046511627907
s89	0.509	0.865	0.537	0.711	1.0	0	0.45728278684733203	0.5930232558139535
s90	0.21	0.317	0.242	0.419	1.0	0	0.6415826181286411	0.5930232558139535
s91	0.548	0.732	0.478	0.744	1.0	0	0.47950071575672454	0.0
s92	0.501	0.633	0.662	0.542	1.0	0	0.4482140347045429	0.0
s93	0.656	0.623	0.558	0.695	1.0	0	0.44956992334688695	0.5930232558139535
s94	0.435	0.38	0.541	0.571	1.0	0	0.5179640802385764	0.0
s95	0.459	0.594	0.77	0.641	1.0	0	0.43067887791102133	0.5930232558139535
s96	0.641	0.57	0.357	0.502	1.0	0	0.5118080736565344	0.0
s97	0.078	0.72	0.6	0.857	1.0	0	0.5318748674604901	0.0
s98	0.27	0.634	0.121	0.525	1.0	0	0.6325443381609375	0.0
s99	0.764	0.588	0.383	0.58	1.0	0	0.48092819201644676	0.0
s100	0.482	0.515	0.768	0.877	1.0	1	0.4349370570221649	1.0
s101	0.447	0.447	0.223	0.23	1.0	1	0.5940554602868362	1.0
s102	0.655	0.891	0.385	0.246	1.0	1	0.46958505808769035	1.0
s103	0.652	0.312	0.415	0.694	1.0	1	0.5199860244768038	1.0
s104	0.567	0.712	0.573	0.265	1.0	1	0.4525145872096156	1.0
s105	0.396	0.428	0.473	0.889	1.0	1	0.5384835175093101	1.0
s106	0.499	0.164	0.705	0.417	1.0	1	0.48375901242684677	1.0
s107	0.309	0.618	0.549	0.351	1.0	1	0.5145343173676128	1.0
s108	0.311	0.727	0.778	0.885	1.0	1	0.44153256989406836	1.0
s109	0.696	0.392	0.472	0.796	1.0	1	0.4886627965684803	1.0
s110	0.787	0.445	0.23	0.874	1.0	1	0.5325004247897891	1.0
s111	0.552	0.161	0.867	0.681	1.0	1	0.43113966173307877	1.0
s112	0.883	0.715	0.686	0.328	1.0	1	0.36803392719015837	1.0
s113	0.213	0.779	0.333	0.882	1.0	1	0.5735450161959439	1.0
s114	0.426	0.406	0.457	0.446	1.0	1	0.5396349500472111	1.0
s115	0.63	0.212	0.068	0.66	1.0	1	0.6251789913731353	0.0
s116	0.248	0.496	0.25	0.689	1.0	1	0.6164638778600516	0.0
s117	0.675	0.432	0.668	0.469	1.0	1	0.4357160413737909	1.0
s118	0.536	0.229	0.198	0.623	1.0	1	0.6062102358128933	1.0
s119	0.404	0.704	0.349	0.684	1.0	1	0.5429238245544667	1.0
s120	0.665	0.724	0.174	0.575	1.0	1	0.5415157001534585	1.0
s121	0.433	0.306	0.27	0.28	1.0	1	0.5978299993002704	1.0
s122	0.318	0.591	0.384	0.56	1.0	1	0.5600067007140193	1.0
s123	0.658	0.662	0.44	0.765	1.0	1	0.477089471903958	1.0
s124	0.599	0.689	0.539	0.361	1.0	1	0.45824141722460676	1.0
s125	0.437	0.57	0.408	0.47	1.0	1	0.5345183541154425	1.0
s126	0.37	0.717	0.712	0.413	1.0	1	0.44972671813222415	1.0
s127	0.628	0.321	0.311	0.87	1.0	1	0.5513681195139308	1.0
s128	0.236	0.505	0.637	0.634	1.0	1	0.5151237182863279	1.0
s129	0.758	0.408	0.345	0.581	1.0	1	0.5103209580368252	1.0
s130	0.158	0.213	0.548	0.346	1.0	1	0.5817301999931637	0.0
s131	0.109	0.748	0.603	0.608	1.0	1	0.5227269157310368	1.0
s132	0.535	0.708	0.551	0.365	1.0	1	0.4645234554493688	1.0
s133	0.159	0.626	0.62	0.506	1.0	1	0.5213925108426564	1.0
