,N Control(raw),Mean Control(raw),N Case(raw),Mean Case(raw),cohen's d(raw),Fold change(raw),p-value(raw),fdr(raw),N Control(PSM),Mean Control(PSM),N Case(PSM),Mean Case(PSM),cohen's d(PSM),Fold change(PSM),p-value(PSM),fdr(PSM)
PWY-6313: serotonin degradation,40,9.50421e-07,38,0.0,0.503437204339649,0.0,0.0011098864641331822,0.008431556848495626,94,8.293303085106382e-07,94,0.0,0.5889472217179806,0.0,1.8829294335399486e-11,8.868597631973158e-09
PWY-5505: L-glutamate and L-glutamine biosynthesis,40,1.102019425e-05,38,5.23223105263158e-06,0.6577971461579308,0.47478573734138857,0.0007211368044717799,0.007112378779169004,94,1.2237605425531916e-05,94,6.224853617021277e-06,0.694134543793852,0.50866598493477,4.037108018546456e-08,7.608232434852737e-06
VALDEG-PWY: L-valine degradation I,40,1.274881575e-06,38,0.0,0.6546948559526197,0.0,0.0021243996458234064,0.010995519045965102,94,1.1455354361702133e-06,94,0.0,0.7303069152847175,0.0,4.8460079202883675e-08,7.608232434852737e-06
"PWY-7039: phosphatidate metabolism, as a signaling molecule",40,1.9679915e-06,38,4.7965e-07,0.714994347435203,0.2437256461727604,0.004415807769900448,0.017625808979856872,94,2.0678479787234056e-06,94,5.817031914893619e-07,0.7589457979072247,0.28130848953822934,1.8924495402273255e-07,2.2283593336176757e-05
PWY-7619: juniperonate biosynthesis,40,1.0938528e-06,38,1.6363931578947368e-07,0.7249958238066714,0.14959902812286416,0.003283020790579667,0.0145542352929163,94,1.0713559468085106e-06,94,1.984561914893617e-07,0.7580583083498244,0.185238334729506,5.074263524674976e-07,2.987472650152392e-05
PWY-6598: sciadonate biosynthesis,40,1.0938528e-06,38,1.6363931578947368e-07,0.7249958238066714,0.14959902812286416,0.003283020790579667,0.0145542352929163,94,1.0713559468085106e-06,94,1.984561914893617e-07,0.7580583083498244,0.185238334729506,5.074263524674976e-07,2.987472650152392e-05
PWY-5067: glycogen biosynthesis II (from UDP-D-Glucose),40,2.9361900000000003e-08,38,0.0,0.4573195928741819,0.0,0.048320011413601954,0.09255890720670958,94,7.271469148936168e-08,94,0.0,0.7956979341459005,0.0,3.577504294383124e-07,2.987472650152392e-05
PWY-5080: very long chain fatty acid biosynthesis I,40,1.0938528e-06,38,1.6363931578947368e-07,0.7249958238066714,0.14959902812286416,0.003283020790579667,0.0145542352929163,94,1.0713559468085106e-06,94,1.984561914893617e-07,0.7580583083498244,0.185238334729506,5.074263524674976e-07,2.987472650152392e-05
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,40,2.319486225e-06,38,2.8947026315789474e-07,0.6542790740297223,0.12479930255153585,0.0020170036250840044,0.010995519045965102,94,1.3531959787234039e-06,94,2.393087234042553e-07,0.5605934072059471,0.17684705479986537,7.619170359516378e-07,3.987365821480238e-05
PWY-101: photosynthesis light reactions,40,4.511289625000001e-06,38,5.64965447368421e-07,0.666080625973898,0.12523369021522773,0.0010469132886246693,0.008218269315703654,94,3.85147860638298e-06,94,6.75962265957447e-07,0.6783706679837755,0.17550721035739053,1.3524463366987794e-06,5.7909293144102285e-05
LIPASYN-PWY: phospholipases,40,1.2241476000000001e-06,38,3.5648044736842106e-07,0.6907137512917074,0.2912070794146237,0.0038262854869272724,0.016090897003060226,94,1.2663251914893617e-06,94,4.3232735106382974e-07,0.6849618472041177,0.34140310401260915,1.2885513534835362e-06,5.7909293144102285e-05
PWY490-3: nitrate reduction VI (assimilatory),40,1.8116645000000001e-06,38,0.0,0.5627595568625056,0.0,0.0021243996458234064,0.010995519045965102,94,1.2799271276595749e-06,94,0.0,0.5765361036893734,0.0,4.777968986746674e-06,0.00018753528272980695
PWY-7218: photosynthetic 3-hydroxybutanoate biosynthesis (engineered),40,2.6985494999999996e-06,38,2.6646552631578945e-07,0.6541053605119211,0.09874398313456524,0.005026969675242824,0.01940739931999484,94,2.3923970212765963e-06,94,3.2316031914893617e-07,0.6615805252327557,0.13507804778008628,1.6330803928532714e-05,0.0005274976558168017
PHOTOALL-PWY: oxygenic photosynthesis,40,1.950478475e-06,38,1.6355734210526318e-07,0.561153256592255,0.08385498440594848,0.005026969675242824,0.01940739931999484,94,1.6575269361702135e-06,94,1.9835677659574465e-07,0.5936376924126623,0.11967031863388986,1.6330803928532714e-05,0.0005274976558168017
PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens),40,3.8051915e-07,38,8.401342105263159e-08,0.26591481770220443,0.2207863153605583,0.1093757390087112,0.18139427138416542,94,1.613830638297872e-07,94,0.0,0.39833345424388233,0.0,1.679928840180897e-05,0.0005274976558168017
PWY-4041: &gamma;-glutamyl cycle,40,1.1966120249999998e-05,38,5.438585342105264e-06,0.6882820288505337,0.4544986368581132,5.6848205106287764e-05,0.0021087323896827746,94,7.794183510638296e-06,94,6.182481478723403e-06,0.18253842192818098,0.7932173357587645,1.9459102975326394e-05,0.0005391316177281607
PWY-7391: isoprene biosynthesis II (engineered),40,3.0012544999999997e-06,38,1.059641052631579e-06,0.6189322706976884,0.3530660437598941,0.011725541216418379,0.03473415039580539,94,3.3255344680851076e-06,94,1.2850965957446811e-06,0.6604907252944354,0.38643310062717795,1.9179112196386917e-05,0.0005391316177281607
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I,40,1.9904393499999998e-05,38,7.91817552631579e-06,0.6955223775665317,0.3978104395050164,7.163422130557196e-05,0.0021087323896827746,94,1.256313138297873e-05,94,9.122936702127652e-06,0.2855390846866316,0.7261674198908676,2.1902864231611044e-05,0.0005731249473938223
PWY0-1479: tRNA processing,40,4.8285323000000006e-05,38,1.7017454736842104e-05,0.9668255134841324,0.3524353505275734,5.369207301000643e-06,0.0016909395105226257,94,2.8086031489361718e-05,94,1.964041446808511e-05,0.3991652666205276,0.6992947535334212,3.3578216872494467e-05,0.0008323863235234155
HISDEG-PWY: L-histidine degradation I,40,0.00013013810799999997,38,8.16042944736842e-05,0.5037524540649808,0.6270591737332175,0.3397386233846834,0.4326196452750733,94,8.003785787234046e-05,94,9.037381680851056e-05,0.14776047402185416,1.129138375400499,3.748024906153611e-05,0.0008826598653991754
PWY-6630: superpathway of L-tyrosine biosynthesis,40,0.0,38,3.401122368421052e-06,0.44228642386116546,inf,0.019142373272799926,0.0492680754726162,94,0.0,94,4.124765425531914e-06,0.4895941813143486,inf,5.836062405126694e-05,0.0013089454251498443
PWY6666-2: dopamine degradation,40,1.2065135e-07,38,1.5750544736842104e-07,0.05191931702565956,1.3054594695245518,0.1628811216599645,0.2531914465407369,94,1.5007891489361704e-07,94,1.9101724468085105e-07,0.05463747415608485,1.2727786899062603,6.624828170585255e-05,0.0013575453052058753
PWY0-881: superpathway of fatty acid biosynthesis I (E. coli),40,5.2689222500000005e-06,38,3.3931634210526322e-06,0.21225483472671072,0.6439957281686273,0.05719703763928774,0.10482414291091255,94,5.678245212765955e-06,94,3.7510118085106374e-06,0.21715089030297105,0.6605934875932322,6.6292021273323e-05,0.0013575453052058753
PWY66-409: superpathway of purine nucleotide salvage,40,0.00012660639075000004,38,9.578252789473685e-05,0.4726904459170695,0.7565378597978619,0.13767493210503093,0.22360307938437782,94,8.702018787234042e-05,94,0.00010645422297872348,0.3715887942030918,1.223327891855313,7.117141799757313e-05,0.0013967390782023727
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),40,4.061438249999999e-06,38,1.6485252631578948e-06,0.6601641794584234,0.4058969167284262,0.006549522892715285,0.022850557647917772,94,4.155959042553192e-06,94,1.9992753191489368e-06,0.6180813537963366,0.48106232488775735,7.539256884943747e-05,0.001420395997123402
PWY-4702: phytate degradation I,40,1.981063749999999e-06,38,4.878697631578947e-07,0.465547253398635,0.24626656419203818,0.03318339672122534,0.0707211758176341,94,1.8412992553191483e-06,94,5.106721595744682e-07,0.48787073134893666,0.27734338027848415,8.706543556310939e-05,0.0015772238519317125
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",40,1.4541280000000005e-05,38,1.0858673157894733e-05,0.3054347001319113,0.7467480963089034,0.1537209182097923,0.24134184158937394,94,1.7191529893617024e-05,94,1.2112476276595748e-05,0.4327487931234624,0.7045606965493479,0.00012276279338918232,0.0021195050912728593
PWY-6803: phosphatidylcholine acyl editing,40,2.2287625750000002e-05,38,8.814966052631581e-06,0.614148012367781,0.3955094253425168,0.0012139059836444141,0.00879614951225414,94,1.3751426063829794e-05,94,1.0119715531914895e-05,0.2708786307236544,0.7359029881659079,0.00012600030266590246,0.0021195050912728593
PWY-5873: ubiquinol-7 biosynthesis (eukaryotic),40,2.1772860000000003e-06,38,7.063957894736841e-07,0.5875845779991502,0.3244386770840781,0.021522390809703876,0.05335287405984487,94,2.3806614893617024e-06,94,8.566927659574467e-07,0.60570377839366,0.35985492678639547,0.00014167529896384743,0.0021525505100636172
